Title,Link
The top 10% owns 87% of the stocks (awealthofcommonsense.com),https://awealthofcommonsense.com/2025/02/the-top-10/
Firefly ‘Blue Ghost’ lunar lander touches down on the moon (cnn.com),https://www.cnn.com/science/live-news/moon-landing-blue-ghost-03-02-25/index.html
Made a scroll bar buddy that walks down the page when you scroll (focusfurnace.com),https://focusfurnace.com/scroll_buddy.html
Man's brain turned to glass by hot Vesuvius ash cloud (bbc.com),https://www.bbc.com/news/articles/cgr2n8xx5gyo
Permacomputing (permacomputing.net),https://permacomputing.net/
Solarpunk (wikipedia.org),https://en.wikipedia.org/wiki/Solarpunk
MIT 6.S184: Introduction to Flow Matching and Diffusion Models (csail.mit.edu),https://diffusion.csail.mit.edu/
"Harvest the sun twice: Agrivoltaics promises sustainable food, energy and water (sheffield.ac.uk)",https://www.sheffield.ac.uk/news/harvesting-sun-twice-agrivoltaics-shows-promise-sustainable-food-energy-and-water-management-east
Gooey rubber that's slowly ruining old hard drives (downtowndougbrown.com),https://www.downtowndougbrown.com/2025/03/the-gooey-rubber-thats-slowly-ruining-old-hard-drives/
Show HN: Tangled – Git collaboration platform built on atproto (tangled.sh),https://blog.tangled.sh/intro
BM25 in PostgreSQL (vectorchord.ai),https://blog.vectorchord.ai/vectorchord-bm25-revolutionize-postgresql-search-with-bm25-ranking-3x-faster-than-elasticsearch
Smallpond – A lightweight data processing framework built on DuckDB and 3FS (github.com/deepseek-ai),https://github.com/deepseek-ai/smallpond
"Speedrunners are vulnerability researchers, they just don't know it yet (zetier.com)",https://zetier.com/speedrunners-are-vulnerability-researchers/
"Substance in broccoli, celery inhibits graying of black hair (asahi.com)",https://www.asahi.com/ajw/articles/15604493
We in-housed our data labelling (ericbutton.co),https://www.ericbutton.co/p/data-labelling
Hallucinations in code are the least dangerous form of LLM mistakes (simonwillison.net),https://simonwillison.net/2025/Mar/2/hallucinations-in-code/
Blender-made movie Flow takes Oscar (reuters.com),https://www.reuters.com/lifestyle/flow-wins-best-animated-feature-film-oscar-2025-03-03/
The Pentium contains a complicated circuit to multiply by three (righto.com),https://www.righto.com/2025/03/pentium-multiplier-adder-reverse-engineered.html
Begrudgingly Choosing CBOR over MessagePack (taylor.town),https://taylor.town/flat-scraps-001
"API design note: Beware of adding an ""Other"" enum value (microsoft.com)",https://devblogs.microsoft.com/oldnewthing/20250217-00/?p=110873
A Few of the Birds I Love (moultano.wordpress.com),https://moultano.wordpress.com/2024/05/03/a-few-of-the-birds-i-love/
Kaspersky exposes hidden malware on GitHub stealing personal data (kaspersky.com),https://www.kaspersky.com/about/press-releases/kaspersky-exposes-hidden-malware-on-github-stealing-personal-data-and-485000-in-bitcoin
Schools reviving shop class (wsj.com),https://www.wsj.com/us-news/education/high-school-shop-class-revival-24d7a525
Why do we have both CSRF protection and CORS? (smagin.fyi),https://smagin.fyi/posts/cross-site-requests/
Show HN: Free Kindle Scribe Weekly Planner Creator (docgenie.co.uk),https://tools.docgenie.co.uk/
Rackmounting that which should not be rackmounted (calbryant.uk),https://calbryant.uk/blog/rackmounting-that-which-should-not-be-rackmounted/
Geothermal power is a climate moon shot beneath our feet (newyorker.com),https://www.newyorker.com/news/the-lede/geothermal-power-is-a-climate-moon-shot-beneath-our-feet
Show HN: Prompting LLMs in Bash scripts (elijahpotter.dev),https://elijahpotter.dev/articles/prompting_large_language_models_in_bash_scripts
Gödel's theorem debunks the most important AI myth – Roger Penrose [video] (youtube.com),https://www.youtube.com/watch?v=biUfMZ2dts8
Matt's Script Archive (1995) (scriptarchive.com),https://www.scriptarchive.com/
